id,title,description,category,imageUrl,active,weight
orange,תפוז,פרי הדר כתום ומתוק,פירות,,TRUE,1
banana,בננה,פרי צהוב ומתוק,פירות,,TRUE,1
apple,תפוח,קלאסי פריך ומתוק,פירות,,TRUE,1
strawberry,תות שדה,אדום קטן וממכר,פירות,,TRUE,1
mango,מנגו,מלך הפירות הטרופיים,פירות,,TRUE,1
watermelon,אבטיח,מרענן וקיצי,פירות,,TRUE,1
grapes,ענבים,קטנים מתוקים וקלים לאכילה,פירות,,TRUE,1
pineapple,אננס,חמוץ-מתוק וטרופי,פירות,,TRUE,1
dog,כלב,חברו הטוב ביותר של האדם,חיות,,TRUE,1
cat,חתול,עצמאי מסתורי ורגוע,חיות,,TRUE,1
elephant,פיל,גדול חכם ובעל זיכרון מצוין,חיות,,TRUE,1
dolphin,דולפין,חכם חברותי ושובב,חיות,,TRUE,1
penguin,פינגווין,אדיב חמוד והולך בכיף,חיות,,TRUE,1
lion,אריה,מלך החיות,חיות,,TRUE,1
beach,חוף ים,חול שמש וגלים,מקומות,,TRUE,1
mountains,הרים,גבוה שקט ומרגיע,מקומות,,TRUE,1
city,עיר גדולה,תוססת רועשת ומלאה באנשים,מקומות,,TRUE,1
forest,יער,ירוק שקט ומלא חיים,מקומות,,TRUE,1
desert,מדבר,שקט רחב ומרגיע,מקומות,,TRUE,1
pizza,פיצה,איטלקית חמה וגבינתית,אוכל,,TRUE,1
burger,המבורגר,אמריקאי עסיסי ומשביע,אוכל,,TRUE,1
sushi,סושי,יפני עדין וטרי,אוכל,,TRUE,1
pasta,פסטה,איטלקית מנחמת וטעימה,אוכל,,TRUE,1
falafel,פלאפל,ישראלי פריך ומהיר,אוכל,,TRUE,1
coffee,קפה,חם מריר ומעורר,שתייה,,TRUE,1
tea,תה,חם רגוע ומרגיע,שתייה,,TRUE,1
lemonade,לימונדה,קרה חמוצה-מתוקה ומרעננת,שתייה,,TRUE,1
cola,קולה,תוססת מתוקה וקרה,שתייה,,TRUE,1
movie,סרט,נוח קולנועי ומרגיע,פעילויות,,TRUE,1
book,ספר,שקט מרתק ומעורר מחשבה,פעילויות,,TRUE,1
gym,חדר כושר,פעיל מאתגר ומחזק,פעילויות,,TRUE,1
sleep,שינה,רגוע נעים וחיוני,פעילויות,,TRUE,1
